Estación:	NOGALES	NOGALES							
Operada por:	SMN EMAS								
Longitud:	"110°54'50"""	Latitud:	"31°17'52"""	Altitud:	1269				
DD/MM/AAAA HH:MM	      DIRS	      DIRR	      VELS	      VELR	      TEMP	         HR	        PB	      PREC	   RADS
									
23/01/2019 22:00	329	355	11.25	25.5	13.5	20	877.1	0	458.5
23/01/2019 23:00	348	330	10.21	19.1	13.2	17	876.7	0	255.7
24/01/2019 00:00	342	336	7.79	19.5	11.5	22	876.5	0	62.3
24/01/2019 01:00	322	335	8.34	19.2	9.6	26	876.4	0	0
24/01/2019 02:00	291	331	6.75	20	8.5	30	876.7	0	0
24/01/2019 03:00	278	279	6.65	14.4	7.5	34	876.8	0	0
24/01/2019 04:00	279	305	7.85	15.6	6.8	33	877.1	0	0
24/01/2019 05:00	308	347	6.56	14.3	6.1	33	877.2	0	0
24/01/2019 06:00	242	271	3.94	9.6	5	36	876.9	0	0
24/01/2019 07:00	228	268	1.78	6.2	3.7	41	876.6	0	0
24/01/2019 08:00	85	102	3.12	6.1	2.9	44	876.3	0	0
24/01/2019 09:00	238	241	2.85	6	2.6	45	875.9	0	0
24/01/2019 10:00	91	105	3.83	9.1	2.6	46	875.7	0	0
24/01/2019 11:00	84	96	4.09	8.4	1.8	47	875.6	0	0
24/01/2019 12:00	244	255	3.68	6.6	1.4	51	875.6	0	0
24/01/2019 13:00	82	288	2.1	7.5	1.5	50	875.5	0	0
24/01/2019 14:00	83	99	3.44	6.3	1.7	48	875.8	0	20.5
24/01/2019 15:00	102	105	5.14	11	5.3	40	876.4	0	231
24/01/2019 16:00	82	133	3.7	9.2	8.5	32	876.9	0	447.2
24/01/2019 17:00	37	352	4.06	12.9	10.5	29	877	0	620.7
24/01/2019 18:00	96	123	5.48	12.5	13.1	27	876.7	0	729.2
24/01/2019 19:00	66	338	6	15.8	15.7	26	876.1	0	771.2
24/01/2019 20:00	24	58	8.79	23.4	17.1	24	875	0	737
24/01/2019 21:00	6	354	8.89	19.2	17.7	23	874.3	0	630.7
24/01/2019 22:00	340	321	9.17	21.3	17.8	23	874.1	0	464.3
24/01/2019 23:00	338	336	11.71	22.3	17.1	24	874.2	0	246.7
25/01/2019 00:00	335	335	14.65	25.4	15.2	26	874.7	0	61.7
25/01/2019 01:00	338	332	14.58	27.6	13	30	875.7	0	0
25/01/2019 02:00	335	339	11.99	25.2	11.7	30	876.3	0	0
25/01/2019 03:00	278	344	3.82	18.4	10.5	33	876.4	0	0
25/01/2019 04:00	284	355	3.22	8.8	9	36	876.2	0	0
25/01/2019 05:00	239	349	3.27	7.5	7.9	40	876.2	0	0
25/01/2019 06:00	260	229	0.26	5	6.3	43	875.9	0	0
25/01/2019 07:00	223	320	1.47	6.6	5.1	46	875.7	0	0
25/01/2019 08:00	230	286	2.52	7.1	4.6	45	875.8	0	0
25/01/2019 09:00	238	259	2.87	6.4	3.8	49	876.2	0	0
25/01/2019 10:00	241	216	2.9	6.3	3.2	48	876.5	0	0
25/01/2019 11:00	253	296	1.11	4.4	2.7	47	876.2	0	0
25/01/2019 12:00	95	98	3.76	7.9	2.5	49	876.2	0	0
25/01/2019 13:00	101	97	4.34	7.3	2	50	876.3	0	0
