Date,Time,batt_volt_Min,logger_temp,short_up_Avg,short_dn_Avg,long_up_Avg,long_dn_Avg,cnr4_T_C_Avg,cnr4_T_K_Avg,long_up_corr_Avg,long_dn_corr_Avg,Rs_net_Avg,Rl_net_Avg,albedo_Avg,Rn_Avg,AirTC_Avg,RH,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,Temp_C_Avg(1),Temp_C_Avg(2),Temp_C_Avg(3),Temp_C_Avg(4),H. suelo 60,Result2_Avg,T. suelo 60 cm,Result4_Avg,Result5_Avg,Result6_Avg,Result7_Avg,Result8_Avg,Result9_Avg,Riego
06/01/2018,17:00:00,12.39,28.43,36.15,7.23,-47.65,-13.43,27.69,300.84,416.77,451.00,36.01,-34.22,0.00,1.79,27.75,20.61,2.33,0.00,0.00,32.82,34.91,33.98,29.96,0.23,0.04,24.33,75.80,0.04,14.16,13.37,14.46,13.46,0.00
06/01/2018,17:30:00,12.27,27.38,22.42,4.48,-56.17,-15.24,26.63,299.78,401.77,442.70,22.34,-40.93,0.00,-18.59,26.57,25.25,3.12,0.00,0.00,33.62,35.21,33.32,29.93,0.23,0.04,21.95,71.54,0.04,14.10,13.23,14.32,13.81,0.00
06/01/2018,18:00:00,12.22,26.30,1.41,0.28,-52.09,-15.60,24.90,298.05,395.37,431.87,1.40,-36.50,0.00,-35.10,25.01,26.45,2.54,0.00,0.00,31.43,32.88,31.15,26.51,0.23,0.04,21.34,70.38,0.04,14.31,13.12,14.51,13.84,0.00
06/01/2018,18:30:00,12.19,25.04,-2.77,-0.55,-51.42,-14.43,23.31,296.46,386.56,423.54,-3.15,-36.98,-0.16,-40.13,23.65,29.22,2.01,0.00,0.00,29.00,30.29,28.74,25.28,0.23,0.04,21.12,70.02,0.04,14.38,13.18,14.58,13.94,0.00
06/01/2018,19:00:00,12.17,23.92,-2.48,-0.50,-50.24,-13.61,22.48,295.63,382.87,419.49,-2.84,-36.62,-0.15,-39.46,22.84,31.08,2.14,0.00,0.00,26.81,27.92,26.61,24.16,0.24,0.04,21.10,70.00,0.04,14.41,13.32,14.60,14.11,0.00
06/01/2018,19:30:00,12.14,22.80,-2.13,-0.43,-47.28,-13.79,21.37,294.52,379.34,412.83,-2.23,-33.49,-0.05,-35.72,22.02,31.85,1.05,0.00,0.00,24.75,25.67,24.61,23.39,0.24,0.04,21.10,70.00,0.04,14.63,13.50,14.83,14.30,0.00
06/01/2018,20:00:00,12.11,21.60,-2.21,-0.44,-46.72,-12.81,20.30,293.45,373.75,407.65,-2.30,-33.91,-0.04,-36.20,21.01,34.80,0.81,0.00,0.00,22.48,23.20,22.36,22.42,0.24,0.04,21.08,69.95,0.04,14.72,13.82,14.92,14.65,0.00
06/01/2018,20:30:00,12.09,20.31,-2.12,-0.42,-50.98,-11.53,18.94,292.09,361.76,401.21,-2.38,-39.45,-0.14,-41.83,20.18,37.47,0.24,0.00,0.00,20.06,20.59,19.97,20.33,0.24,0.04,21.00,69.80,0.04,14.94,13.93,15.14,14.77,0.00
06/01/2018,21:00:00,12.06,19.05,-2.59,-0.52,-55.46,-12.60,18.00,291.15,351.96,394.82,-2.78,-42.86,-0.08,-45.64,18.20,39.41,1.88,0.00,0.00,17.64,18.04,17.61,18.00,0.24,0.04,20.92,69.64,0.04,14.98,14.04,15.18,14.89,0.00
06/01/2018,21:30:00,12.03,18.07,-2.67,-0.53,-57.13,-13.04,17.31,290.46,346.47,390.56,-2.86,-44.09,-0.08,-46.96,17.61,41.29,1.73,0.00,0.00,15.76,16.04,15.83,16.25,0.24,0.04,20.91,69.61,0.04,14.87,14.14,15.06,14.98,0.00
06/01/2018,22:00:00,12.01,17.19,-2.34,-0.47,-53.54,-12.40,16.76,289.91,346.98,388.12,-2.53,-41.14,-0.09,-43.68,16.96,44.21,1.91,0.00,0.00,14.15,14.31,14.32,14.78,0.24,0.04,20.91,69.61,0.04,14.98,14.11,15.18,14.96,0.00
06/01/2018,22:30:00,11.99,16.54,-2.30,-0.46,-52.71,-11.24,16.28,289.43,345.20,386.67,-2.47,-41.47,-0.07,-43.94,16.56,45.64,2.11,0.00,0.00,12.98,13.04,13.27,13.76,0.24,0.04,20.91,69.61,0.04,15.05,14.06,15.25,14.91,0.00
06/01/2018,23:00:00,11.97,16.03,-1.79,-0.36,-42.51,-8.90,15.86,289.01,353.06,386.66,-1.93,-33.60,-0.10,-35.54,16.03,46.27,2.09,0.00,0.00,12.10,12.04,12.48,13.01,0.24,0.04,20.91,69.62,0.04,15.05,14.06,15.25,14.91,0.00
06/01/2018,23:30:00,11.96,15.76,-0.46,-0.09,-25.16,-5.18,16.12,289.27,371.82,391.80,-0.63,-19.98,-0.42,-20.61,16.26,44.49,1.82,0.00,0.00,11.69,11.54,12.15,12.68,0.24,0.04,20.92,69.63,0.04,15.01,14.12,15.21,14.97,0.00
07/01/2018,00:00:00,11.95,15.83,-1.06,-0.21,-27.17,-5.58,16.35,289.50,371.08,392.66,-1.16,-21.58,-0.12,-22.75,16.51,44.52,1.51,0.00,0.00,12.02,11.78,12.53,13.09,0.24,0.04,20.94,69.67,0.04,14.95,14.20,15.15,15.05,0.00
